,name,experience,employment,created_at,selary,address,type,schedule,work_schedule_by_days,working_hours
126847197,Оператор видеонаблюдения,Нет опыта,Полная занятость,2025-10-23 T09:24:22,180000-180000 KZT,"Алматы, улица Алишера Навои, 208/8",Открытая,Сменный график,2/2,12 часов
126869937,Оператор упаковочного станка,Нет опыта,Полная занятость,2025-10-23 T12:11:13,70000-None RUR,"Челябинск, Бродокалмакский тракт, 6с23",Открытая,Гибкий график,4/4,11 часов
126844058,Оператор - комплектовщик в аптеку (г. Екатеринбург),От 1 года до 3 лет,Полная занятость,2025-10-24 T12:38:18,55000-None RUR,"Екатеринбург, улица Крестинского, 6",Открытая,Сменный график,2/2,12 часов
125908014,Оператор клиентского сервиса (криптообменник),От 1 года до 3 лет,Полная занятость,2025-09-29 T15:47:41,500-900 USD,Не указано,Открытая,Удаленная работа,3/3,12 часов
126320000,Оператор / Диспетчер / Менеджер по работе с клиентами,Нет опыта,Полная занятость,2025-10-08 T17:16:32,90000-130000 RUR,"Москва, 11-я Парковая улица",Открытая,Гибкий график,6/1,10 часов
126492107,Диспетчер/Оператор техподдержки (чат),Нет опыта,Частичная занятость,2025-10-14 T05:18:13,70000-110000 RUR,Не указано,Открытая,Удаленная работа,5/2,6 часов
126695799,Оператор call-центра,От 1 года до 3 лет,Полная занятость,2025-10-20 T07:10:37,300000-None KZT,Не указано,Открытая,Полный день,5/2,8 часов
126846991,Оператор 1 С/Транспортный логист,От 1 года до 3 лет,Полная занятость,2025-10-23 T09:22:55,55000-60000 RUR,"Иркутск, Челябинская улица, 26к1",Открытая,Полный день,5/2,8 часов
112774275,Оператор call-центра,Нет опыта,Полная занятость,2025-10-08 T10:07:14,1850-1850 BYR,"Минск, проспект Независимости, 58к6",Открытая,Сменный график,2/2,12 часов
123554245,Оператор колл-центра,Нет опыта,Полная занятость,2025-10-01 T10:46:05,65000-70000 RUR,"Москва, Октябрьская улица, 69",Открытая,Полный день,5/2,8 часов
126360053,Оператор ПК ФСИН,Нет опыта,Полная занятость,2025-10-09 T13:42:13,60000-None RUR,Не указано,Открытая,Полный день,5/2,8 часов
125876380,Помощник менеджера по продажам/оператор 1С,От 1 года до 3 лет,Полная занятость,2025-09-30 T13:11:03,45000-55000 RUR,"Ростов-на-Дону, улица 1-й Конной Армии, 1",Открытая,Полный день,5/2,8 часов
125876682,Оператор линии стыковки (завод по производству холодильников),Нет опыта,Полная занятость,2025-09-29 T09:01:22,69000-None RUR,Не указано,Открытая,Сменный график,2/2,11 часов
126762652,Оператор склада,От 1 года до 3 лет,Полная занятость,2025-10-24 T09:55:01,90000-100000 RUR,"Всеволожский район, Промышленный район Центральное отделение, 123",Открытая,Полный день,5/2,8 часов
126708716,Оператор производственной линии,Нет опыта,Полная занятость,2025-10-20 T10:27:43,110000-130000 RUR,"Казань, Тэцевская улица, 233",Открытая,Полный день,5/2,12 часов
126739205,Оператор станков с программным управлением,От 1 года до 3 лет,Полная занятость,2025-10-20 T15:42:08,90000-120000 RUR,"Калуга, Грабцевское шоссе, 43",Открытая,Сменный график,3/3,12 часов
125998705,Оператор 1C,От 1 года до 3 лет,Полная занятость,2025-10-01 T10:12:34,70000-None RUR,"городской округ Новосибирск, Северный проезд, 5/1",Открытая,Полный день,5/2,8 часов
126622121,Оператор 1С (оператор по доставке),От 1 года до 3 лет,Полная занятость,2025-10-22 T16:21:42,60000-None RUR,"Краснодар, Уральская улица, 170/2",Открытая,Полный день,Другое,8 часов
126832151,Оператор станка с ЧПУ,Нет опыта,Полная занятость,2025-10-22 T16:24:51,2000-None BYR,"Витебск, 2-я Прибережная улица, 1к11",Открытая,Полный день,5/2,8 часов
126791221,Оператор 1С (Крекшино),От 1 года до 3 лет,Полная занятость,2025-10-21 T16:46:42,100000-None RUR,"посёлок совхоза Крёкшино, 163",Открытая,Сменный график,2/2,12 часов
126833802,Оператор данных 1С,От 1 года до 3 лет,Полная занятость,2025-10-22 T16:59:04,70000-None RUR,село Левково,Открытая,Полный день,5/2,8 часов
126896705,Оператор производственной линии,Нет опыта,Полная занятость,2025-10-24 T08:59:46,101700-124300 RUR,"деревня Заболотье, 100",Открытая,Сменный график,2/2,12 часов
126091145,Оператор ЧПУ (ученик-разнорабочий),Нет опыта,Полная занятость,2025-10-24 T07:31:27,80000-125000 RUR,"Всеволожский район, территория Соржа-Старая производственно-складская зона",Открытая,Полный день,5/2,8 часов
126824909,Техник \ Оператор торгового оборудования (можно без опыта),Нет опыта,Полная занятость,2025-10-22 T14:18:04,105000-None RUR,Собинский муниципальный округ,Открытая,Сменный график,2/2,12 часов
124452962,Оператор станков с программным управлением 4 разряда (фрезерная группа),От 3 до 6 лет,Полная занятость,2025-10-22 T15:59:06,180000-350000 RUR,"Москва, Новозаводская улица, 18",Открытая,Полный день,5/2,8 часов
126676569,Оператор базы 1С,От 1 года до 3 лет,Полная занятость,2025-10-23 T18:44:21,Не указано,"Москва, Ростовская набережная, 1",Открытая,Удаленная работа,5/2,8 часов
126756032,Оператор,Нет опыта,Частичная занятость,2025-10-21 T07:43:52,10000-15000 RUR,"Красноярск, улица 78-й Добровольческой Бригады, 4",Открытая,Гибкий график,5/2,4 часа
126830526,Оператор ПК / оператор интернет-магазина,Нет опыта,Полная занятость,2025-10-22 T15:55:55,40000-50000 RUR,"Челябинск, Артиллерийская улица, 124",Открытая,Сменный график,2/2,11 часов
126010618,Оператор в компьютерный клуб,От 1 года до 3 лет,Полная занятость,2025-10-01 T12:57:43,Не указано,Не указано,Открытая,Сменный график,2/2,12 часов
126381066,Оператор call-центра,От 1 года до 3 лет,Полная занятость,2025-10-10 T07:31:18,300000-320000 KZT,"Алматы, улица Ладушкина, 120/5",Открытая,Сменный график,2/2,12 часов
126908493,Оператор Станка Лазерной резки,Нет опыта,Полная занятость,2025-10-24 T12:05:02,90000-None RUR,"Челябинск, Копейское шоссе, 5К",Открытая,Полный день,5/2,8 часов
125329100,Оператор БПЛА,От 1 года до 3 лет,Полная занятость,2025-10-24 T11:24:00,150000-None RUR,Не указано,Открытая,Полный день,Другое,Другое
126429731,Оператор ПК,Нет опыта,Полная занятость,2025-10-11 T20:45:33,60000-70000 RUR,"Москва, улица Маршала Катукова, 10к1",Открытая,Полный день,5/2,7 часов
126517069,Оператор пк,Нет опыта,Частичная занятость,2025-10-14 T13:04:03,25000-None RUR,"Москва, 3-й Силикатный проезд, 6к1с1",Открытая,Полный день,5/2,5 часов
126757370,Администратор-кассир-оператор в клуб настольного тенниса и PS,Нет опыта,Полная занятость,2025-10-21 T08:22:29,150000-200000 KZT,"Алматы, улица Муратбаева, 201",Открытая,Сменный график,2/2,12 часов
126771006,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-21 T11:45:22,Не указано,"село Толмачёво, улица Белая База, 12",Открытая,Полный день,5/2,8 часов
126781547,Оператор производственного цеха,От 1 года до 3 лет,Полная занятость,2025-10-21 T14:23:21,300000-350000 KZT,"Актобе, улица Отегена Турмагамбетова, 107А",Открытая,Полный день,Другое,11 часов
125643323,Оператор call-центра (удаленно),От 1 года до 3 лет,Полная занятость,2025-10-21 T14:42:38,None-60000 RUR,Не указано,Открытая,Удаленная работа,2/2,12 часов
126808115,Оператор,Нет опыта,Полная занятость,2025-10-22 T09:54:36,42500-42500 RUR,"Казань, Ново-Савиновский район, Меридианная улица, 1А",Открытая,Полный день,5/2,8 часов
126380596,Оператор 1 С,Нет опыта,Полная занятость,2025-10-10 T07:10:25,70000-None RUR,"Хабаровск, Краснореченская улица, 97А",Открытая,Полный день,6/1,8 часов
126417798,Оператор 1C,Нет опыта,Полная занятость,2025-10-10 T17:11:33,60000-60000 RUR,"Казань, Складская улица, 1А",Открытая,Полный день,5/2,8 часов
126643111,Оператор пивоваренного производства,Нет опыта,Полная занятость,2025-10-23 T10:36:51,90000-None RUR,"Самара, Товарная улица, 5литВ",Открытая,Сменный график,4/2,12 часов
126737755,Оператор 1С / логист производства,От 1 года до 3 лет,Полная занятость,2025-10-20 T15:21:56,100000-120000 RUR,"Видное, Донбасская улица, с104",Открытая,Полный день,5/2,8 часов
126083356,Оператор 3D принтера,Нет опыта,Полная занятость,2025-10-13 T12:19:45,60000-None RUR,"Санкт-Петербург, улица Васи Алексеева, 4",Открытая,Сменный график,2/2,12 часов
126801200,"Оператор ПК (Черняховского, 82/2)",Нет опыта,Полная занятость,2025-10-22 T07:23:37,65000-None RUR,"Екатеринбург, улица Черняховского, 82/2",Открытая,Полный день,5/2,9 часов
126807724,Оператор 1С,Нет опыта,Полная занятость,2025-10-25 T09:49:21,62000-None RUR,"Всеволожский район, промзона Уткина Заводь, 4к1",Открытая,Гибкий график,4/3,12 часов
126655829,Оператор 1С (производственное подразделение),От 1 года до 3 лет,Полная занятость,2025-10-17 T14:03:40,90000-None RUR,"Подольск, Большая Серпуховская улица, 43к101",Открытая,Полный день,5/2,8 часов
126697745,Оператор пункта выдачи заказов,Нет опыта,Полная занятость,2025-10-20 T08:12:51,2200-None RUR,"Тихвин, Школьная улица, 11",Открытая,Сменный график,2/2,11 часов
126419230,Оператор станка,Нет опыта,Полная занятость,2025-10-24 T10:30:08,80000-92000 RUR,"Саратов, Автокомбинатовская улица, 15",Открытая,Сменный график,2/2,11 часов
126450888,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-13 T10:05:46,75000-None RUR,"деревня Малое Карлино, Пушкинское шоссе, 41",Открытая,Полный день,5/2,8 часов
126558351,"Оператор call-центра, Менеджер по работе с клиентами,",От 1 года до 3 лет,Полная занятость,2025-10-15 T11:58:32,40000-80000 RUR,"Уфа, жилой район Черниковка",Открытая,Полный день,5/2,8 часов
126831093,Оператор 1С / менеджер склада,От 1 года до 3 лет,Полная занятость,2025-10-22 T16:04:00,90000-None RUR,"Москва, 2-й Хорошёвский проезд, 7с1",Открытая,Полный день,5/2,8 часов
126675907,Специалист по работе с клиентами / Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-17 T18:05:11,65000-None RUR,"Казань, проспект Ямашева, 36",Открытая,Полный день,5/2,8 часов
126817820,Оператор данных,От 1 года до 3 лет,Полная занятость,2025-10-22 T12:18:48,50000-50000 RUR,Не указано,Открытая,Удаленная работа,5/2,8 часов
126888928,Оператор call-центра,Нет опыта,Полная занятость,2025-10-23 T18:22:36,50000-50000 RUR,"Москва, Хорошёвское шоссе, 17",Открытая,Удаленная работа,5/2,8 часов
125823607,Оператор ПК в офис (центр),От 1 года до 3 лет,Полная занятость,2025-10-20 T10:28:39,Не указано,"Екатеринбург, улица Сакко и Ванцетти, 47",Открытая,Полный день,5/2,8 часов
126498623,Оператор пропитки ткани тефлон,Нет опыта,Полная занятость,2025-10-14 T09:01:42,2300-None RUR,"Пермь, улица Гальперина, 6к11",Открытая,Полный день,3/3,8 часов
126800020,Оператор на телефон (без продаж),Нет опыта,Полная занятость,2025-10-22 T06:07:34,60000-None RUR,"Улан-Удэ, улица Трубачеева, 154",Открытая,Сменный график,2/2,12 часов
126662041,Помощник менеджера по транспорту (оператор ПК),От 1 года до 3 лет,Полная занятость,2025-10-23 T11:28:54,64000-70000 RUR,"Ярославль, Базовая улица, 3",Открытая,Полный день,5/2,8 часов
126731231,Оператор 1С / Специалист по работе с документами,От 1 года до 3 лет,Полная занятость,2025-10-23 T13:54:00,70000-70000 RUR,"село Остафьево, Троицкая улица, 49с2",Открытая,Полный день,5/2,8 часов
126761542,Оператор Диспетчер,Нет опыта,Полная занятость,2025-10-24 T09:38:28,75000-None RUR,"Москва, Сигнальный проезд, 19с1",Открытая,Сменный график,2/2,12 часов
126866893,Оператор 1С (Эстачи),От 1 года до 3 лет,Полная занятость,2025-10-23 T11:27:59,60000-60000 RUR,"Высокогорский район, промышленная зона Эстачи",Открытая,Полный день,5/2,8 часов
126886571,Оператор 1С (Заместитель),От 1 года до 3 лет,Полная занятость,2025-10-23 T17:02:54,50000-None RUR,деревня Терентьево,Открытая,Полный день,5/2,9 часов
126001249,Кассир-оператор,Нет опыта,Полная занятость,2025-10-22 T10:45:59,400000-800000 KZT,"Караганда, проспект Бухар Жырау, 78/2",Открытая,Сменный график,4/2,12 часов
126512294,Оператор на почту,От 1 года до 3 лет,Полная занятость,2025-10-14 T12:02:12,None-45000 RUR,Не указано,Открытая,Удаленная работа,2/2,12 часов
126786270,Оператор по сборке заказов на доставку,Нет опыта,Полная занятость,2025-10-21 T15:24:11,None-65000 RUR,Не указано,Открытая,Гибкий график,3/3,11 часов
125954441,Оператор расфасовочно-упаковочного автомата,Нет опыта,Полная занятость,2025-09-30 T11:57:00,2200-2500 BYR,"Минск, улица Володько, 6",Открытая,Полный день,5/2,8 часов
126878172,Оператор в офис по записи пациентов (без продаж),Нет опыта,Полная занятость,2025-10-23 T14:29:54,54000-67000 RUR,"Томск, проспект Ленина, 94",Открытая,Полный день,6/1,8 часов
125964656,Оператор ПК / 1С,От 1 года до 3 лет,Полная занятость,2025-09-30 T13:19:49,60000-60000 RUR,"Новосибирск, улица Связистов, 12Ак1",Открытая,Полный день,5/2,8 часов
126820924,Оператор 1С (Специалист по работе с клиентами),От 1 года до 3 лет,Полная занятость,2025-10-22 T13:07:45,None-80000 RUR,"Калининград, Большая Окружная улица, 2",Открытая,Полный день,5/2,8 часов
126699117,Оператор 1С в отдел закупок,От 1 года до 3 лет,Полная занятость,2025-10-23 T08:35:10,65000-95000 RUR,"деревня Коледино, 1Вс3",Открытая,Полный день,5/2,8 часов
126618324,Оператор станков с программным управлением,Нет опыта,Полная занятость,2025-10-22 T15:23:32,3000-None BYR,агрогородок Михановичи,Открытая,Полный день,5/2,8 часов
126752772,Оператор 1C,От 1 года до 3 лет,Полная занятость,2025-10-25 T02:01:58,65000-90000 RUR,"Благовещенск, микрорайон КПП, Гражданская улица, 112",Открытая,Полный день,5/2,8 часов
121614643,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-23 T08:59:29,50000-80000 RUR,"Аксай, Аксайский проспект, 21",Открытая,Полный день,5/2,8 часов
126528263,Водитель-оператор (на автомобиле компании),От 1 года до 3 лет,Полная занятость,2025-10-23 T15:58:54,110000-160000 RUR,"Санкт-Петербург, Уральская улица, 13",Открытая,Полный день,5/2,8 часов
126629853,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-16 T21:20:27,60000-60000 RUR,"Ростов-на-Дону, проспект Чехова, 24",Открытая,Полный день,5/2,8 часов
126779639,Оператор,Нет опыта,Полная занятость,2025-10-21 T13:48:43,60000-60000 RUR,деревня Шихово,Открытая,Полный день,5/2,8 часов
126876877,Оператор склада/Кладовщик,От 1 года до 3 лет,Полная занятость,2025-10-23 T14:08:11,75000-85000 RUR,"Тула, улица Демонстрации, 197А",Открытая,Сменный график,4/2,10 часов
125639186,Оператор на сливки,Нет опыта,Полная занятость,2025-10-21 T13:27:50,80000-None RUR,"Пермь, Буксирная улица, 2А",Открытая,Полный день,5/2,По договорённости
126610502,Оператор ПК/Оператор базы данных,Нет опыта,Полная занятость,2025-10-16 T13:19:53,45000-45000 RUR,"Волжский, улица Горького, 98",Открытая,Полный день,5/2,8 часов
126654213,Оператор call-центра (БЕЗ ПРОДАЖ И КОНСУЛЬТАЦИЙ),От 1 года до 3 лет,Полная занятость,2025-10-17 T13:39:44,40000-50000 RUR,Не указано,Открытая,Удаленная работа,5/2,8 часов
126745132,Бухгалтер на первичную документацию (склад / производство) / Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-23 T17:16:12,Не указано,"Москва, Таганско-Краснопресненская линия, метро Сходненская",Открытая,Полный день,5/2,8 часов
126884094,"Оператор call-центра/Диспетчер/Менеджер отдела продаж (наркология, психиатрия)",От 1 года до 3 лет,Полная занятость,2025-10-23 T16:08:13,90000-100000 RUR,,Открытая,Гибкий график,2/2,12 часов
126703129,Оператор отдела электронного документооборота,Нет опыта,Полная занятость,2025-10-20 T09:32:45,None-81563 RUR,"Москва, Пермская улица, 3",Открытая,Сменный график,1/3,24 часа
126791376,Оператор call-центра,От 1 года до 3 лет,Полная занятость,2025-10-24 T16:50:21,65000-90000 RUR,Не указано,Открытая,Удаленная работа,2/2,12 часов
126754398,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-21 T06:18:21,40000-None KGS,Не указано,Открытая,Полный день,6/1,8 часов
126759724,Оператор ПК/Оператор базы данных,От 1 года до 3 лет,Полная занятость,2025-10-21 T09:10:37,200000-220000 KZT,"Павлодар, Центральный промышленный район",Открытая,Полный день,5/2,8 часов
126314533,Оператор/администратор на кондитерское производство,Нет опыта,Полная занятость,2025-10-23 T15:28:45,80000-90000 RUR,"Москва, Рябиновая улица, 53с2",Открытая,Сменный график,2/2,11 часов
126548877,Оператор 1С (стройматериалы),Нет опыта,Полная занятость,2025-10-24 T09:47:44,70000-70000 RUR,"посёлок Приовражное, Новая улица, 100",Открытая,Полный день,5/2,8 часов
126700501,Оператор станков с ЧПУ (ученик),Нет опыта,Полная занятость,2025-10-20 T08:58:23,55000-90000 RUR,"Казань, улица Владимира Кулагина, 1к2",Открытая,Полный день,5/2,8 часов
126850670,Оператор-наладчик станков с ЧПУ,От 1 года до 3 лет,Полная занятость,2025-10-23 T09:46:58,160000-None RUR,"Санкт-Петербург, Петергофское шоссе, 74",Открытая,Сменный график,4/4,12 часов
125768672,Оператор call-центра/техническая поддержка,От 1 года до 3 лет,Полная занятость,2025-09-25 T13:48:45,1500-1800 BYR,"Минск, проспект Машерова, 25",Открытая,Полный день,Другое,11 часов
126628388,Оператор радиотелефонист,От 1 года до 3 лет,Полная занятость,2025-10-22 T18:42:05,250000-395000 RUR,Не указано,Открытая,Полный день,5/2,8 часов
126817190,Оператор ПК,Нет опыта,Полная занятость,2025-10-22 T12:08:19,30000-35000 RUR,"Липецк, улица С.Ф. Балмочных, вл11",Открытая,Полный день,5/2,8 часов
126511313,Оператор call-центра,Нет опыта,Полная занятость,2025-10-23 T11:48:27,80000-120000 RUR,"Санкт-Петербург, проспект Энгельса, 27литЗ",Открытая,Гибкий график,5/2,11 часов
126536217,Оператор отдела бронирования,От 1 года до 3 лет,Полная занятость,2025-10-14 T18:36:00,None-120000 RUR,Не указано,Открытая,Удаленная работа,Другое,Другое
126801215,Менеджер-оператор в 1С по работе с клиентами,От 3 до 6 лет,Полная занятость,2025-10-25 T07:24:23,60000-70000 RUR,"Уфа, Самаркандская улица, 1к5",Открытая,Полный день,5/2,8 часов
122795340,Оператор контактного центра,Нет опыта,Полная занятость,2025-10-03 T08:37:31,None-6000000 UZS,"Ташкент, улица Махтумкули, 2Б",Открытая,Полный день,5/2,6 часов
125466653,Оператор на производство,Нет опыта,Полная занятость,2025-10-16 T08:35:29,100000-130000 RUR,"Балашиха, микрорайон Саввино, Саввинская улица, 12",Открытая,Полный день,5/2,8 часов
126360710,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-20 T17:45:41,83000-None RUR,"деревня Кучино, 53",Открытая,Полный день,Другое,11 часов
126573492,Оператор видеонаблюдения (парк «Краснодар»),От 1 года до 3 лет,Полная занятость,2025-10-15 T15:43:29,85000-85000 RUR,"Краснодар, улица Разведчика Леонова, 1",Открытая,Сменный график,2/2,12 часов
125419185,Менеджер по документообороту/оператор ПК,От 1 года до 3 лет,Полная занятость,2025-10-20 T16:52:51,55000-65000 RUR,"Нижний Новгород, Монастырка, 13К3",Открытая,Полный день,5/2,8 часов
125798827,Помощник оператора ЧПУ,Нет опыта,Полная занятость,2025-09-25 T16:38:17,100000-150000 RUR,"Ивантеевка, улица Толмачёва, 80",Открытая,Полный день,6/1,8 часов
126164318,Оператор ПК/Оператор базы данных,От 1 года до 3 лет,Полная занятость,2025-10-24 T09:47:31,65000-None RUR,Не указано,Открытая,Удаленная работа,5/2,8 часов
126426917,Оператор производственной линии на косметическое производство,Нет опыта,Полная занятость,2025-10-23 T12:28:15,2000-None BYR,"деревня Задомля, Полевая улица, 4",Открытая,Полный день,5/2,8 часов
126897486,Оператор станка,Нет опыта,Полная занятость,2025-10-24 T09:17:26,80000-None RUR,"Нижний Новгород, улица Ковпака, 1",Открытая,Полный день,5/2,8 часов
126009008,Оператор по обработке первичной документации,Нет опыта,Полная занятость,2025-10-01 T12:33:15,67000-67000 RUR,Не указано,Открытая,Полный день,5/2,8 часов
126608770,Специалист/оператор по учету ГСМ/помощник бухгалтера,Нет опыта,Полная занятость,2025-10-22 T12:51:29,50000-None RUR,"Воронеж, Ленинградская улица, 2",Открытая,Полный день,5/2,8 часов
126693529,Оператор 1С/помощник бухгалтера,Нет опыта,Полная занятость,2025-10-23 T05:12:22,50000-None RUR,"Барнаул, улица Малахова, 179",Открытая,Полный день,5/2,8 часов
126739332,Оператор склада,Нет опыта,Полная занятость,2025-10-23 T15:44:17,70000-90000 RUR,Мытищи,Открытая,Полный день,5/2,8 часов
126427583,Оператор ПК 1С (7.7),От 1 года до 3 лет,Полная занятость,2025-10-23 T13:43:07,75000-95000 RUR,"Краснодар, Уральская улица, 116Л",Открытая,Полный день,6/1,10 часов
126625901,Оператор 1С/помощник менеджера по производству,От 1 года до 3 лет,Полная занятость,2025-10-16 T17:26:06,60000-None RUR,"Иваново, улица Спартака, 22",Открытая,Полный день,5/2,8 часов
126660804,Бухгалтер/Оператор 1С (иностранная компания),От 1 года до 3 лет,Полная занятость,2025-10-23 T14:45:53,100000-130000 RUR,"Москва, Ленинградский проспект, 35",Открытая,Полный день,5/2,8 часов
126798743,Оператор 1 С,Нет опыта,Полная занятость,2025-10-22 T04:14:37,52900-60000 RUR,Краснокаменск,Открытая,Полный день,5/2,8 часов
126803910,Оператор ПК,Нет опыта,Полная занятость,2025-10-22 T08:47:13,50000-50000 RUR,"Самара, улица Куйбышева, 110",Открытая,Сменный график,2/2,12 часов
126676961,Оператор 1с,Нет опыта,Полная занятость,2025-10-23 T19:21:41,55000-85000 RUR,"Наро-Фоминск, площадь Свободы, 10",Открытая,Полный день,5/2,8 часов
126884651,Бухгалтер по реализации/ оператор 1С,От 1 года до 3 лет,Частичная занятость,2025-10-23 T16:19:52,25000-None RUR,"Коммунар, Павловская улица, 13",Открытая,Удаленная работа,5/2,4 часа
126843569,Оператор call-центра (назначение встреч),От 1 года до 3 лет,Полная занятость,2025-10-23 T08:13:19,60000-80000 RUR,Не указано,Открытая,Удаленная работа,5/2,6 часов
126813005,Утренний оператор чата,От 1 года до 3 лет,Частичная занятость,2025-10-22 T11:02:58,300-300 RUR,Омск,Открытая,Удаленная работа,Другое,6 часов
126831510,Оператор call-центра,Нет опыта,Полная занятость,2025-10-22 T16:11:31,45000-None RUR,"Александров, улица Восстания 1905 года, 13А",Открытая,Сменный график,2/2,12 часов
126862996,Специалист оператор производственной линии,От 1 года до 3 лет,Полная занятость,2025-10-23 T11:02:06,95000-None RUR,"Чердаклинский район, улица Марс, 1",Открытая,Сменный график,2/2,12 часов
125589913,Оператор колл-центра (оператор call-центра),Нет опыта,Полная занятость,2025-10-20 T11:45:29,930-None AZN,Не указано,Открытая,Удаленная работа,5/2,4 часа
126729266,Оператор ПК,От 1 года до 3 лет,Полная занятость,2025-10-23 T13:25:01,53000-53000 RUR,"Санкт-Петербург, шоссе Революции, 69",Открытая,Сменный график,3/2,9 часов
126819706,Оператор пункта выдачи заказов/ПВЗ в г. Астана,От 1 года до 3 лет,Полная занятость,2025-10-22 T12:49:46,200000-300000 KZT,Не указано,Открытая,Сменный график,2/2,12 часов
126731980,Оператор допечатной подготовки,Нет опыта,Полная занятость,2025-10-20 T14:03:37,Не указано,"деревня Софьино, 60А",Открытая,Сменный график,2/2,11 часов
126793736,Оператор производственной линии,Нет опыта,Полная занятость,2025-10-24 T17:37:18,52000-None RUR,"Кострома, 2-я Волжская улица, 8В",Открытая,Полный день,5/2,8 часов
126826748,Оператор ПК склада,От 1 года до 3 лет,Полная занятость,2025-10-22 T14:53:09,50000-None RUR,"Верхняя Пышма, улица Обогатителей, 13",Открытая,Полный день,5/2,8 часов
125849252,Оператор-наладчик станков с ЧПУ,От 1 года до 3 лет,Полная занятость,2025-10-23 T15:56:01,150000-200000 RUR,"Санкт-Петербург, Полюстровский проспект, 32",Открытая,Полный день,5/2,8 часов
126419383,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-10 T18:01:20,40000-50000 RUR,Липецк,Открытая,Удаленная работа,5/2,8 часов
126756168,Бухгалтер-оператор,От 1 года до 3 лет,Полная занятость,2025-10-21 T07:49:39,Не указано,"Новосибирск, Пролетарская улица, 261",Открытая,Полный день,5/2,8 часов
126894095,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-24 T07:37:56,70000-70000 RUR,"Артём, улица Гагарина, 6",Открытая,Полный день,5/2,8 часов
123894987,Оператор на входящие заявки,От 1 года до 3 лет,Полная занятость,2025-10-13 T14:59:50,85000-130000 RUR,"Москва, улица Шаболовка, 31Г",Открытая,Удаленная работа,5/2,По договорённости
126760876,Оператор газовой котельной,От 1 года до 3 лет,Полная занятость,2025-10-21 T09:27:56,80000-82000 RUR,"Москва, 1-й Иртышский проезд, 4с4",Открытая,Сменный график,1/3,По договорённости
126900983,Бухгалтер-оператор/кассир,От 1 года до 3 лет,Полная занятость,2025-10-24 T10:06:08,250000-250000 KZT,Не указано,Открытая,Полный день,6/1,7 часов
126746884,Ночной оператор ветеринарного центра / Администратор,Нет опыта,Полная занятость,2025-10-23 T17:39:47,50000-75000 RUR,Не указано,Открытая,Удаленная работа,2/2,12 часов
126833604,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-22 T16:56:12,45000-45000 RUR,"Саратов, Астраханская улица, 1",Открытая,Полный день,5/2,8 часов
126414467,Специалист колл-центра в медицинскую клинику (Оператор/менеджер),От 1 года до 3 лет,Полная занятость,2025-10-10 T16:04:12,90000-150000 RUR,"Москва, улица Цюрупы, 1с6",Открытая,Сменный график,2/2,12 часов
126877999,Оператор видеонаблюдения,От 1 года до 3 лет,Полная занятость,2025-10-23 T14:27:42,80000-80000 RUR,"Санкт-Петербург, улица Савушкина, 126Б",Открытая,Полный день,5/2,8 часов
126901947,Оператор call-центра,От 1 года до 3 лет,Полная занятость,2025-10-24 T10:21:00,40000-80000 RUR,Москва,Открытая,Удаленная работа,5/2,8 часов
123011574,Оператор производственной линии,От 1 года до 3 лет,Полная занятость,2025-10-13 T10:51:45,105000-None RUR,"Санкт-Петербург, Канонерский остров, 3к1Е",Открытая,Сменный график,2/2,10 часов
125997793,Оператор 1С,Нет опыта,Полная занятость,2025-10-01 T09:58:51,230000-230000 KZT,"Астана, шоссе Алаш, 29/2",Открытая,Полный день,5/2,8 часов
126560390,Оператор 1С,От 3 до 6 лет,Полная занятость,2025-10-24 T12:26:54,90000-95000 RUR,"Дзержинский, Дзержинское шоссе, 6",Открытая,Полный день,5/2,8 часов
126635264,Оператор 1С отдела продаж,Нет опыта,Полная занятость,2025-10-17 T08:16:15,70000-70000 RUR,"Набережные Челны, Казанский проспект, 236с4",Открытая,Полный день,5/2,8 часов
126763661,Оператор записи и обслуживания пользователей портала Госуслуг,Нет опыта,Полная занятость,2025-10-21 T10:09:44,Не указано,Не указано,Открытая,Удаленная работа,5/2,4 часа
122966293,Оператор call-центра,От 1 года до 3 лет,Полная занятость,2025-10-14 T12:40:33,250000-None KZT,Не указано,Открытая,Полный день,5/2,8 часов
126701473,Помощник оператора котельной,Нет опыта,Полная занятость,2025-10-20 T09:13:12,60000-None RUR,"Барнаул, Памятный проезд, 12",Открытая,Полный день,5/2,8 часов
126874223,Оператор 1C,От 1 года до 3 лет,Полная занятость,2025-10-23 T13:21:09,80000-80000 RUR,"Химки, Заводская улица, вл9А",Открытая,Сменный график,1/3,24 часа
