,name,experience,employment,created_at,selary,address,type,schedule,work_schedule_by_days,working_hours
126718348,Оператор 1С на производство,От 1 года до 3 лет,Полная занятость,2025-10-20 T11:21:16,80000-None RUR,"Санкт-Петербург, улица Есенина, 9к2",Открытая,Полный день,5/2,8 часов
126826287,Оператор 1С на склад,Нет опыта,Полная занятость,2025-10-22 T14:45:31,62000-None RUR,"село Высокая Гора, Большая Красная улица, 1с1",Открытая,Полный день,2/2,8 часов
120770620,Оператор call-центра со знанием русского языка,Нет опыта,Полная занятость,2025-10-03 T11:16:00,1200-3500 GEL,"Тбилиси, Университетская улица, 17А",Открытая,Полный день,6/1,8 часов
126069118,Оператор чата со знанием русского и узбекского языка,От 1 года до 3 лет,Полная занятость,2025-10-23 T14:38:23,650-None USD,Не указано,Открытая,Удаленная работа,2/2,12 часов
126827194,Оператор на склад нефтепродуктов,Нет опыта,Полная занятость,2025-10-22 T14:59:44,48000-80000 RUR,"Барнаул, Дальняя улица, 11",Открытая,Гибкий график,Другое,По договорённости
126558097,Оператор колл-центра / Менеджер по работе с клиентами (ЖКХ удаленно),От 1 года до 3 лет,Полная занятость,2025-10-24 T11:54:21,60000-None RUR,Не указано,Открытая,Удаленная работа,2/2,12 часов
126857283,Оператор в отдел сбыта,От 1 года до 3 лет,Полная занятость,2025-10-23 T10:28:42,60000-80000 RUR,"Славянск-на-Кубани, Маевское шоссе, 3/4",Открытая,Полный день,5/2,Другое
121885853,Оператор заявок,От 1 года до 3 лет,Полная занятость,2025-10-08 T08:45:45,75000-None RUR,"Самара, Московское шоссе, 4А",Открытая,Полный день,5/2,8 часов
126663318,Оператор станков с ЧПУ,Нет опыта,Полная занятость,2025-10-17 T15:01:06,100000-None RUR,"Ижевск, проезд имени Дерябина, 2/50",Открытая,Сменный график,3/3,10 часов
126749877,Оператор ПК/Оператор базы данных,Нет опыта,Полная занятость,2025-10-23 T18:42:31,60000-None RUR,"деревня Коляново, Загородная улица, 21",Открытая,Полный день,5/2,8 часов
125903856,Оператор станков с ЧПУ,От 1 года до 3 лет,Полная занятость,2025-10-18 T11:24:17,135000-165000 RUR,"Казань, Складская улица, 7",Открытая,Полный день,5/2,8 часов
126775854,Оператор отдела логистики,Нет опыта,Полная занятость,2025-10-21 T12:48:21,50000-None RUR,"Архангельск, Кузнечихинский промузел 1-й проезд, 13",Открытая,Полный день,5/2,8 часов
126825520,Оператор КММ,Нет опыта,Полная занятость,2025-10-22 T14:30:22,None-20000 RUR,"Богородск, улица Ванцетти, 1",Открытая,Полный день,5/2,8 часов
126724250,Оператор производственной линии,Нет опыта,Полная занятость,2025-10-20 T12:14:45,100000-130000 RUR,"Санкт-Петербург, Магнитогорская улица, 30",Открытая,Полный день,5/2,8 часов
126796330,Оператор службы доставки,Нет опыта,Полная занятость,2025-10-21 T19:35:22,1200-None BYR,"Гомель, улица Пушкина, 2",Открытая,Сменный график,2/2,Другое
126179895,Ученик оператора ЧПУ,Нет опыта,Полная занятость,2025-10-06 T12:35:02,70000-110000 RUR,"Санкт-Петербург, улица 2-й Луч, 3",Открытая,Полный день,5/2,8 часов
126757274,Оператор 1С в магазин,От 1 года до 3 лет,Полная занятость,2025-10-21 T08:19:39,50000-None RUR,"Пенза, Ладожская улица, 111",Открытая,Полный день,5/2,8 часов
126872051,Оператор 1С на склад,Нет опыта,Полная занятость,2025-10-23 T12:47:15,65000-70000 RUR,"Березовский, Режевской 15-й километр тракт, 6",Открытая,Полный день,5/2,8 часов
126264818,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-07 T15:27:56,85000-None RUR,"Москва, Ижорская улица, 7",Открытая,Сменный график,4/3,12 часов
126872132,Оператор ПК/Оператор базы данных,От 1 года до 3 лет,Полная занятость,2025-10-23 T12:48:37,230000-None KZT,"Тараз, улица Махамбет батыра, 4В",Открытая,Полный день,5/2,По договорённости
125942344,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-09-30 T10:03:25,65000-70000 RUR,Не указано,Открытая,Удаленная работа,5/2,8 часов
